,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,day_of_the_year
122,51,unemployed,married,tertiary,no,1634,yes,no,cellular,168,4,-1,0,unknown,0,204
123,46,services,divorced,secondary,no,5,yes,yes,cellular,305,2,-1,0,unknown,0,29
124,53,entrepreneur,married,tertiary,no,2289,yes,yes,cellular,183,1,-1,0,unknown,0,322
125,42,management,single,tertiary,no,10907,no,no,cellular,74,3,-1,0,unknown,0,125
126,61,self-employed,divorced,tertiary,no,6610,no,no,cellular,481,2,-1,0,unknown,1,55
127,34,management,married,tertiary,no,176,no,no,cellular,61,4,-1,0,unknown,0,231
128,32,management,married,tertiary,no,820,yes,no,cellular,738,3,-1,0,unknown,0,199
129,27,technician,married,secondary,no,130,yes,no,cellular,265,3,-1,0,unknown,0,128
130,47,technician,married,secondary,no,599,yes,no,cellular,99,3,-1,0,unknown,0,226
131,32,admin.,single,secondary,no,1649,no,no,cellular,204,2,-1,0,unknown,0,148
132,50,admin.,divorced,secondary,no,202,no,yes,cellular,148,1,-1,0,unknown,0,322
133,48,management,divorced,tertiary,no,541,yes,no,cellular,72,1,363,2,other,0,135
134,31,student,single,tertiary,no,64,no,no,cellular,208,1,105,2,success,0,259
135,35,blue-collar,married,secondary,no,137,no,yes,unknown,5,1,808,12,failure,0,278
136,27,entrepreneur,single,secondary,no,376,yes,yes,cellular,273,1,-1,0,unknown,0,126
137,39,services,married,secondary,no,9374,yes,no,unknown,273,1,-1,0,unknown,0,141
138,48,blue-collar,married,secondary,no,480,yes,no,cellular,830,1,352,2,failure,1,136
139,32,management,single,tertiary,no,473,yes,no,cellular,72,2,361,1,other,0,132
140,34,management,married,tertiary,no,136,yes,no,cellular,156,1,-1,0,unknown,0,113
141,58,management,married,primary,no,2769,yes,no,cellular,94,2,-1,0,unknown,0,193
142,45,services,divorced,primary,no,3854,yes,no,unknown,10,3,-1,0,unknown,0,172
143,40,management,married,tertiary,no,0,no,no,cellular,109,8,-1,0,unknown,0,196
144,38,admin.,married,secondary,no,3190,yes,no,unknown,20,2,-1,0,unknown,0,172
145,39,blue-collar,married,secondary,no,0,yes,no,cellular,502,1,7,2,failure,0,128
146,30,management,single,tertiary,no,424,no,no,cellular,298,4,-1,0,unknown,1,107
147,32,unemployed,married,secondary,no,10,yes,no,unknown,501,4,-1,0,unknown,0,127
148,41,retired,single,primary,no,0,no,no,cellular,239,1,368,2,failure,0,129
149,66,retired,married,tertiary,no,1948,no,no,cellular,216,1,91,4,success,1,28
150,42,technician,married,secondary,no,2980,no,no,unknown,101,3,-1,0,unknown,0,172
151,50,technician,married,secondary,no,-568,yes,yes,unknown,860,2,-1,0,unknown,0,149
152,43,blue-collar,married,primary,no,757,yes,no,unknown,315,4,-1,0,unknown,0,130
153,31,technician,single,secondary,no,102,yes,no,telephone,460,2,345,2,failure,0,108
154,41,blue-collar,married,secondary,no,4900,yes,no,telephone,121,2,-1,0,unknown,0,213
155,38,unknown,single,tertiary,no,0,no,no,cellular,260,3,95,3,success,1,255
156,49,blue-collar,married,primary,no,937,yes,no,unknown,66,1,-1,0,unknown,0,164
157,51,admin.,married,secondary,no,2967,no,no,unknown,83,2,-1,0,unknown,0,169
158,42,admin.,single,secondary,no,1022,yes,no,unknown,146,2,-1,0,unknown,0,126
159,32,self-employed,single,secondary,no,518,yes,no,cellular,34,7,-1,0,unknown,0,139
160,38,blue-collar,married,primary,no,2569,no,no,unknown,172,1,-1,0,unknown,0,161
161,40,management,married,tertiary,no,1584,yes,no,telephone,661,1,-1,0,unknown,0,326
162,45,services,married,secondary,no,-839,yes,no,unknown,68,1,-1,0,unknown,0,149
163,58,retired,single,primary,no,6570,no,no,cellular,106,3,-1,0,unknown,0,203
164,35,self-employed,married,secondary,no,8883,no,no,cellular,33,3,-1,0,unknown,0,326
165,40,management,divorced,tertiary,no,502,yes,no,cellular,267,4,270,3,other,0,34
166,50,self-employed,divorced,tertiary,no,59,yes,no,unknown,67,2,-1,0,unknown,0,149
167,47,admin.,married,secondary,no,1060,yes,no,unknown,83,3,-1,0,unknown,0,158
168,52,admin.,married,secondary,no,693,no,no,unknown,271,1,-1,0,unknown,0,164
169,36,services,divorced,secondary,no,1594,no,no,unknown,250,3,-1,0,unknown,0,158
170,40,admin.,single,secondary,no,462,yes,yes,cellular,272,1,335,4,other,0,97
171,30,technician,single,tertiary,no,699,yes,no,cellular,213,4,-1,0,unknown,0,224
172,36,services,married,secondary,no,42,yes,no,unknown,102,4,-1,0,unknown,0,129
173,37,blue-collar,married,primary,no,543,yes,no,unknown,281,1,-1,0,unknown,0,142
174,31,management,married,tertiary,no,1331,no,no,cellular,297,1,86,3,success,1,121
175,30,management,married,tertiary,no,0,yes,no,cellular,127,1,-1,0,unknown,0,191
176,39,entrepreneur,married,primary,no,238,yes,yes,cellular,134,1,-1,0,unknown,0,324
177,40,admin.,single,secondary,no,1670,yes,no,unknown,161,2,-1,0,unknown,0,170
178,36,services,single,secondary,no,398,yes,yes,unknown,77,2,-1,0,unknown,0,169
179,43,management,single,secondary,no,109,yes,no,unknown,64,3,-1,0,unknown,0,148
180,48,blue-collar,married,secondary,no,333,yes,no,cellular,24,6,-1,0,unknown,0,135
181,49,unemployed,married,tertiary,no,377,no,no,cellular,158,1,59,2,failure,0,143
182,39,management,single,tertiary,no,12437,no,no,telephone,40,1,-1,0,unknown,0,323
183,45,blue-collar,married,secondary,no,115,no,no,cellular,209,4,-1,0,unknown,0,224
184,43,technician,married,secondary,no,17,yes,no,unknown,353,4,-1,0,unknown,0,137
185,31,services,married,secondary,no,1062,yes,yes,cellular,230,1,-1,0,unknown,0,97
186,26,services,single,secondary,no,1700,yes,no,cellular,13,5,-1,0,unknown,0,128
187,34,admin.,married,tertiary,no,2552,yes,yes,cellular,74,1,-1,0,unknown,0,269
188,45,management,married,tertiary,no,1529,no,no,cellular,160,1,-1,0,unknown,0,182
189,46,technician,married,secondary,no,499,yes,no,cellular,37,10,-1,0,unknown,0,213
190,48,technician,married,secondary,no,178,yes,no,unknown,320,4,-1,0,unknown,0,169
191,53,admin.,single,secondary,no,1178,yes,no,unknown,295,2,-1,0,unknown,0,136
192,33,management,married,tertiary,no,273,yes,no,unknown,803,1,-1,0,unknown,1,137
193,55,technician,married,secondary,no,0,no,no,cellular,336,1,-1,0,unknown,0,324
194,26,services,single,secondary,yes,-162,yes,no,cellular,44,2,-1,0,unknown,0,136
195,26,admin.,married,secondary,no,0,no,no,unknown,755,1,-1,0,unknown,0,148
196,59,entrepreneur,married,primary,no,0,no,no,telephone,207,2,153,1,failure,0,324
197,41,blue-collar,married,primary,no,2067,yes,no,cellular,493,7,-1,0,unknown,0,136
198,55,admin.,married,secondary,no,865,yes,no,cellular,96,1,111,3,failure,0,301
199,33,blue-collar,single,secondary,no,4404,yes,no,cellular,766,3,-1,0,unknown,0,325
200,26,services,single,secondary,no,0,no,no,cellular,165,23,-1,0,unknown,0,211
201,35,blue-collar,married,secondary,no,262,no,no,cellular,96,2,109,4,success,0,184
202,54,technician,married,secondary,no,0,no,no,telephone,986,1,94,8,failure,0,321
203,28,technician,single,tertiary,no,0,yes,no,unknown,205,6,-1,0,unknown,0,156
204,31,services,married,secondary,no,-230,yes,yes,cellular,715,1,-1,0,unknown,0,198
205,41,management,married,tertiary,no,140,yes,no,unknown,65,3,-1,0,unknown,0,157
206,36,management,married,tertiary,no,9269,yes,yes,cellular,107,2,-1,0,unknown,0,324
207,36,technician,married,secondary,no,55,yes,no,cellular,38,2,369,4,failure,0,134
208,48,blue-collar,single,tertiary,no,2330,yes,no,unknown,15,1,-1,0,unknown,0,156
209,56,technician,single,tertiary,no,917,no,no,unknown,306,1,-1,0,unknown,0,161
210,48,management,married,tertiary,no,7289,yes,no,cellular,316,3,-1,0,unknown,0,33
211,32,technician,single,tertiary,no,741,yes,no,cellular,238,1,-1,0,unknown,0,224
212,32,technician,single,tertiary,no,1625,no,no,cellular,796,1,109,1,failure,1,143
213,51,self-employed,divorced,secondary,no,1291,yes,no,unknown,51,2,-1,0,unknown,0,155
214,47,blue-collar,married,primary,no,2642,no,no,cellular,310,2,-1,0,unknown,0,226
215,32,services,single,secondary,no,133,no,no,cellular,171,1,-1,0,unknown,1,106
216,59,management,married,tertiary,no,1585,no,no,telephone,91,5,-1,0,unknown,0,241
217,30,technician,single,tertiary,no,799,yes,yes,unknown,91,18,-1,0,unknown,0,158
218,45,blue-collar,single,primary,no,999,no,no,cellular,182,2,-1,0,unknown,0,29
219,34,admin.,married,secondary,no,244,yes,no,cellular,56,4,-1,0,unknown,0,213
220,38,blue-collar,married,secondary,no,213,yes,no,unknown,270,15,-1,0,unknown,0,168
221,43,admin.,married,secondary,no,3215,yes,no,cellular,228,3,-1,0,unknown,0,203
222,56,self-employed,married,secondary,no,800,no,yes,cellular,170,1,-1,0,unknown,0,191
223,43,self-employed,married,secondary,no,104,no,no,unknown,332,1,-1,0,unknown,0,169
224,35,technician,divorced,secondary,no,308,no,no,cellular,77,2,-1,0,unknown,0,235
225,58,technician,married,tertiary,no,883,no,no,cellular,543,1,78,2,failure,0,231
226,43,technician,married,secondary,no,136,no,no,cellular,363,7,-1,0,unknown,1,238
227,28,blue-collar,married,secondary,no,8,yes,no,cellular,196,1,-1,0,unknown,0,136
228,41,entrepreneur,married,secondary,no,1249,yes,no,cellular,391,1,-1,0,unknown,0,191
229,47,services,divorced,secondary,no,691,no,no,cellular,285,6,-1,0,unknown,0,37
230,32,services,married,secondary,no,38,yes,no,cellular,744,1,-1,0,unknown,1,136
231,58,management,married,tertiary,no,2729,no,no,unknown,188,1,-1,0,unknown,0,170
232,40,blue-collar,married,secondary,no,952,no,yes,unknown,140,1,-1,0,unknown,0,164
233,42,services,married,secondary,no,-91,yes,yes,cellular,43,1,-1,0,unknown,0,36
234,42,entrepreneur,married,tertiary,no,42045,no,no,cellular,205,2,-1,0,unknown,0,221
235,41,blue-collar,single,secondary,no,428,yes,no,cellular,92,1,-1,0,unknown,0,133
236,30,services,single,tertiary,no,3516,yes,no,unknown,447,4,-1,0,unknown,0,150
237,42,blue-collar,divorced,secondary,no,1491,yes,no,cellular,203,2,334,2,failure,0,127
238,38,admin.,married,secondary,no,1852,yes,no,cellular,298,2,-1,0,unknown,0,136
239,36,technician,married,unknown,no,756,no,no,cellular,396,3,-1,0,unknown,0,193
240,32,technician,single,tertiary,no,360,no,no,cellular,164,2,-1,0,unknown,0,324
241,34,technician,married,secondary,no,4,yes,no,unknown,644,1,-1,0,unknown,0,136
242,33,technician,single,tertiary,no,125,no,no,telephone,66,2,-1,0,unknown,0,242
243,50,technician,married,tertiary,no,3337,yes,yes,telephone,24,14,-1,0,unknown,0,213
244,50,management,married,tertiary,no,1240,no,no,cellular,474,2,-1,0,unknown,0,225
245,43,management,divorced,tertiary,no,388,yes,no,unknown,2087,2,-1,0,unknown,1,129
246,49,technician,married,tertiary,no,3726,no,no,cellular,875,2,-1,0,unknown,1,218
247,35,entrepreneur,married,tertiary,no,2723,yes,yes,cellular,275,4,-1,0,unknown,0,221
248,39,management,married,secondary,no,0,yes,no,cellular,63,3,-1,0,unknown,0,240
249,27,blue-collar,divorced,secondary,no,1,yes,no,cellular,116,3,-1,0,unknown,0,196
250,53,blue-collar,married,primary,no,53,yes,no,cellular,208,1,140,1,failure,0,98
251,57,management,married,tertiary,no,1602,no,no,cellular,339,3,-1,0,unknown,0,211
252,33,management,single,primary,no,4897,yes,no,unknown,151,1,-1,0,unknown,0,141
253,31,management,single,tertiary,no,385,yes,no,unknown,304,1,-1,0,unknown,0,142
254,37,blue-collar,married,secondary,no,346,yes,no,cellular,390,1,316,1,failure,0,108
255,41,entrepreneur,divorced,secondary,no,1588,yes,yes,unknown,10,8,-1,0,unknown,0,172
256,33,technician,single,tertiary,no,696,no,yes,cellular,193,1,176,8,failure,0,36
257,37,self-employed,single,tertiary,no,556,no,no,unknown,200,2,-1,0,unknown,0,169
258,48,blue-collar,married,secondary,no,149,yes,no,unknown,71,1,-1,0,unknown,0,130
259,59,unemployed,married,primary,no,0,no,no,cellular,3025,2,-1,0,unknown,0,30
260,49,admin.,married,secondary,no,2465,no,no,cellular,157,3,-1,0,unknown,0,233
261,46,admin.,divorced,secondary,no,2232,no,no,cellular,121,1,-1,0,unknown,1,44
262,57,blue-collar,married,primary,no,23,yes,no,telephone,25,8,-1,0,unknown,0,213
263,32,self-employed,married,tertiary,no,189,yes,no,unknown,106,2,-1,0,unknown,0,158
264,41,admin.,divorced,secondary,no,6046,yes,yes,telephone,300,6,182,2,success,1,75
265,42,technician,divorced,secondary,no,1533,no,yes,cellular,86,1,-1,0,unknown,0,218
266,44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,210,3,-1,0,unknown,0,241
267,40,technician,married,secondary,no,169,yes,no,cellular,43,4,-1,0,unknown,0,231
268,31,self-employed,married,secondary,no,33,no,no,cellular,165,4,-1,0,unknown,0,219
269,50,blue-collar,divorced,primary,no,-10,no,yes,cellular,369,6,-1,0,unknown,0,192
270,42,management,single,secondary,no,9720,no,no,cellular,81,2,-1,0,unknown,0,218
271,43,management,married,tertiary,no,2,no,yes,cellular,472,2,-1,0,unknown,0,233
272,29,self-employed,married,tertiary,no,1,no,no,cellular,167,3,-1,0,unknown,0,200
273,47,services,divorced,secondary,no,4906,yes,no,unknown,389,1,-1,0,unknown,0,135
274,49,blue-collar,married,secondary,no,171,no,no,cellular,19,3,175,2,other,0,35
275,43,blue-collar,married,primary,no,60,no,no,cellular,487,2,367,2,other,0,129
276,30,technician,single,secondary,no,3107,yes,no,unknown,1516,2,-1,0,unknown,0,155
277,30,management,married,tertiary,no,1882,yes,no,cellular,249,5,-1,0,unknown,0,224
278,37,management,married,tertiary,no,1315,no,no,cellular,224,1,-1,0,unknown,1,182
279,32,technician,married,secondary,no,687,no,no,cellular,161,4,-1,0,unknown,0,233
280,32,technician,single,secondary,no,271,yes,no,cellular,80,2,268,2,other,0,134
281,32,admin.,single,secondary,no,739,yes,no,cellular,91,3,-1,0,unknown,0,325
282,40,services,married,secondary,no,4157,yes,no,unknown,735,1,-1,0,unknown,0,136
283,29,technician,single,tertiary,no,828,yes,no,cellular,215,3,321,3,other,0,107
284,26,technician,single,secondary,no,455,no,no,cellular,240,1,182,8,other,0,29
285,23,technician,single,secondary,no,-306,yes,no,unknown,217,2,-1,0,unknown,0,156
286,48,management,single,tertiary,no,8106,no,no,unknown,125,1,111,3,failure,0,322
287,33,management,divorced,secondary,no,106,no,no,cellular,175,3,-1,0,unknown,0,233
288,40,services,married,secondary,no,113,yes,no,unknown,126,1,-1,0,unknown,0,156
289,33,unknown,married,secondary,no,2727,no,no,cellular,205,3,-1,0,unknown,0,219
290,34,admin.,married,secondary,no,247,no,no,cellular,401,2,-1,0,unknown,1,282
291,43,admin.,married,secondary,no,-465,yes,yes,cellular,166,1,-1,0,unknown,0,205
292,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,367,2,297,1,other,0,135
293,36,management,single,tertiary,no,260,yes,no,cellular,49,1,-1,0,unknown,0,128
294,36,blue-collar,married,primary,no,1925,yes,no,cellular,904,2,-1,0,unknown,1,111
295,44,technician,married,secondary,no,2776,yes,no,cellular,701,1,-1,0,unknown,1,27
296,36,admin.,single,secondary,no,319,yes,no,cellular,120,2,-1,0,unknown,0,139
297,38,blue-collar,single,tertiary,no,14058,no,no,telephone,293,20,-1,0,unknown,0,199
298,42,blue-collar,married,primary,no,1156,yes,no,telephone,37,1,-1,0,unknown,0,111
299,48,blue-collar,married,primary,no,1092,no,yes,cellular,79,1,172,8,failure,0,323
300,49,management,married,tertiary,no,852,yes,no,cellular,408,1,-1,0,unknown,0,325
301,57,management,married,tertiary,no,0,no,no,cellular,188,4,-1,0,unknown,0,232
302,41,blue-collar,married,primary,no,389,yes,no,unknown,87,6,-1,0,unknown,0,168
303,34,blue-collar,married,secondary,no,103,yes,yes,unknown,956,2,-1,0,unknown,0,129
304,53,technician,married,tertiary,no,431,yes,no,unknown,74,1,-1,0,unknown,0,163
305,61,housemaid,married,primary,no,848,no,no,cellular,605,1,187,1,other,0,118
306,38,blue-collar,married,primary,no,290,yes,no,cellular,283,1,-1,0,unknown,0,107
307,57,admin.,married,tertiary,no,46,no,no,cellular,238,2,-1,0,unknown,0,220
308,49,technician,married,secondary,no,4667,yes,no,unknown,130,2,-1,0,unknown,0,140
309,45,management,single,tertiary,no,2048,yes,no,cellular,310,1,804,1,failure,1,292
310,60,admin.,married,secondary,no,3043,no,no,cellular,235,3,-1,0,unknown,0,232
311,37,self-employed,married,secondary,no,215,yes,no,unknown,61,1,-1,0,unknown,0,158
312,42,blue-collar,married,secondary,no,-422,no,no,cellular,31,1,-1,0,unknown,0,191
313,59,self-employed,married,tertiary,no,185,no,no,cellular,177,5,138,1,failure,0,174
314,32,management,married,secondary,no,350,yes,no,unknown,110,2,-1,0,unknown,0,149
315,39,blue-collar,married,primary,no,111,no,no,cellular,201,2,-1,0,unknown,0,323
316,57,management,married,tertiary,no,1341,yes,no,unknown,339,2,-1,0,unknown,0,129
