Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
3700,60,retired,married,primary,no,71188,no,no,cellular,6,oct,205,1,-1,0,unknown,no
798,34,student,single,unknown,no,1281,no,no,cellular,25,aug,279,1,117,1,failure,no
4020,42,management,married,secondary,yes,-34,no,no,cellular,5,feb,176,1,-1,0,unknown,no
621,30,technician,single,tertiary,no,6619,yes,no,cellular,21,aug,239,8,-1,0,unknown,no
315,30,blue-collar,married,primary,no,1317,yes,no,unknown,21,may,395,2,-1,0,unknown,no
1557,28,student,single,tertiary,no,1562,no,no,cellular,15,feb,659,4,-1,0,unknown,yes
3418,34,blue-collar,married,secondary,no,326,yes,yes,unknown,15,may,150,2,-1,0,unknown,no
3415,26,services,single,secondary,yes,-162,yes,no,cellular,15,may,44,2,-1,0,unknown,no
944,40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,-1,0,unknown,yes
1075,26,unemployed,married,tertiary,no,454,yes,yes,unknown,23,may,28,18,-1,0,unknown,no
3063,34,blue-collar,married,secondary,no,518,yes,no,cellular,11,may,206,1,-1,0,unknown,no
157,55,technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
1192,35,entrepreneur,single,secondary,no,475,no,yes,cellular,21,jul,936,4,-1,0,unknown,no
3787,53,blue-collar,married,secondary,no,483,yes,no,cellular,3,feb,288,3,-1,0,unknown,no
668,55,retired,divorced,secondary,no,138,no,no,cellular,17,jul,205,1,-1,0,unknown,no
1918,43,blue-collar,married,secondary,no,-179,yes,no,cellular,30,jul,335,6,-1,0,unknown,no
1161,29,unemployed,single,tertiary,no,991,no,no,cellular,5,feb,563,1,-1,0,unknown,no
2817,30,blue-collar,single,secondary,no,648,yes,yes,unknown,8,may,287,1,-1,0,unknown,no
1174,35,management,married,tertiary,no,317,yes,no,unknown,23,may,162,3,-1,0,unknown,no
3825,32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,132,8,-1,0,unknown,no
2446,30,blue-collar,married,secondary,no,-28,yes,no,cellular,18,may,284,2,371,1,failure,no
151,36,management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
1196,72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,no
594,37,unemployed,single,tertiary,yes,0,yes,no,cellular,10,jul,108,1,-1,0,unknown,no
3907,36,management,married,tertiary,no,1318,yes,no,cellular,7,aug,100,2,-1,0,unknown,no
1730,51,management,married,tertiary,no,630,yes,no,cellular,5,may,138,1,-1,0,unknown,no
1666,32,management,married,tertiary,no,4761,yes,no,cellular,5,may,159,2,350,2,failure,no
3855,47,technician,married,secondary,no,-9,no,no,cellular,14,aug,457,2,-1,0,unknown,no
3292,28,technician,single,tertiary,no,356,no,no,cellular,2,mar,76,2,-1,0,unknown,no
2775,37,blue-collar,married,secondary,no,685,yes,no,unknown,6,jun,968,1,-1,0,unknown,no
4190,32,blue-collar,married,secondary,no,150,no,no,cellular,5,feb,210,1,-1,0,unknown,no
3013,49,technician,married,tertiary,no,523,yes,no,cellular,3,mar,152,2,-1,0,unknown,yes
3169,38,services,married,secondary,no,-314,yes,no,unknown,28,may,66,2,-1,0,unknown,no
1569,43,unknown,single,unknown,no,181,no,no,telephone,28,jan,41,1,-1,0,unknown,no
252,55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
3929,54,housemaid,married,unknown,no,0,no,no,cellular,14,apr,94,5,145,3,other,no
1829,32,technician,married,secondary,no,253,yes,no,unknown,4,jun,257,3,-1,0,unknown,no
3166,42,blue-collar,married,primary,no,1156,yes,no,telephone,20,apr,37,1,-1,0,unknown,no
2298,39,entrepreneur,married,tertiary,no,2644,yes,no,unknown,20,may,253,1,-1,0,unknown,no
4475,43,blue-collar,married,secondary,no,1335,yes,no,unknown,6,may,371,2,-1,0,unknown,no
2086,39,blue-collar,married,primary,no,1046,no,no,unknown,19,jun,112,4,-1,0,unknown,no
2078,31,self-employed,single,secondary,no,1086,no,no,cellular,20,nov,410,1,-1,0,unknown,no
2229,42,services,divorced,secondary,no,372,yes,yes,unknown,6,may,121,2,-1,0,unknown,no
812,51,admin.,single,tertiary,no,16,yes,no,cellular,30,jan,158,1,-1,0,unknown,no
8,41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
3116,39,self-employed,married,secondary,no,235,no,no,unknown,9,jun,217,1,-1,0,unknown,no
23,44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no
3475,32,technician,single,secondary,no,0,no,no,cellular,21,aug,126,2,-1,0,unknown,no
1237,35,admin.,married,primary,no,189,yes,no,cellular,11,may,95,1,-1,0,unknown,no
1272,35,technician,divorced,secondary,no,0,no,no,cellular,25,aug,124,4,-1,0,unknown,no
350,31,blue-collar,married,secondary,no,1660,yes,no,cellular,20,apr,342,1,-1,0,unknown,no
3210,50,management,married,secondary,no,732,no,no,cellular,7,apr,736,7,-1,0,unknown,no
3740,36,blue-collar,divorced,primary,no,-308,yes,no,cellular,12,may,725,1,-1,0,unknown,yes
3531,44,management,divorced,tertiary,no,0,no,no,cellular,22,aug,54,2,-1,0,unknown,no
1187,27,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,unknown,no
3113,36,admin.,divorced,secondary,no,-37,yes,no,unknown,27,may,151,1,-1,0,unknown,no
4511,46,blue-collar,married,secondary,no,668,yes,no,unknown,15,may,1263,2,-1,0,unknown,yes
33,32,management,single,tertiary,no,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes
829,35,management,single,tertiary,no,714,yes,no,cellular,26,aug,135,22,-1,0,unknown,no
996,58,management,married,secondary,no,37,no,no,cellular,18,aug,84,11,-1,0,unknown,no
2939,33,blue-collar,divorced,secondary,no,-131,yes,no,unknown,16,may,145,1,-1,0,unknown,no
1564,28,blue-collar,divorced,unknown,no,101,yes,no,unknown,28,may,126,4,-1,0,unknown,no
2954,51,services,married,secondary,no,0,no,yes,unknown,26,jun,565,3,-1,0,unknown,no
4517,57,self-employed,married,tertiary,yes,-3313,yes,yes,unknown,9,may,153,1,-1,0,unknown,no
4134,29,blue-collar,married,secondary,no,424,yes,yes,unknown,14,may,241,2,-1,0,unknown,no
2805,35,unknown,married,primary,no,634,no,no,cellular,7,jul,185,2,-1,0,unknown,no
1162,55,services,married,secondary,no,186,yes,yes,unknown,9,may,241,1,-1,0,unknown,no
3231,29,admin.,married,secondary,no,22171,yes,no,cellular,18,may,44,1,355,3,failure,no
414,53,blue-collar,married,secondary,no,4380,no,no,telephone,19,aug,223,7,-1,0,unknown,no
596,47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58,2,382,1,failure,no
1270,30,admin.,married,secondary,no,122,yes,no,unknown,16,may,107,1,-1,0,unknown,no
877,30,management,single,tertiary,no,19358,no,no,cellular,19,nov,258,2,-1,0,unknown,no
2658,56,admin.,married,secondary,no,2146,no,yes,unknown,9,jun,594,1,-1,0,unknown,no
2118,51,blue-collar,married,primary,no,3726,no,yes,cellular,27,aug,119,12,-1,0,unknown,no
3829,41,admin.,divorced,secondary,no,-365,yes,no,unknown,28,may,226,10,-1,0,unknown,no
1025,56,retired,married,secondary,no,1044,no,no,telephone,3,jul,353,2,-1,0,unknown,yes
1896,35,management,single,tertiary,no,0,no,no,cellular,29,aug,669,6,-1,0,unknown,no
3671,37,blue-collar,married,secondary,no,67,no,no,unknown,3,jun,45,2,-1,0,unknown,no
4406,35,unemployed,single,secondary,no,2116,yes,no,cellular,13,may,409,2,-1,0,unknown,no
291,47,blue-collar,married,secondary,no,480,yes,no,unknown,28,may,211,2,-1,0,unknown,no
655,59,retired,married,primary,no,0,yes,no,unknown,26,may,104,7,-1,0,unknown,no
693,53,entrepreneur,married,unknown,no,28,no,no,cellular,31,jul,117,2,-1,0,unknown,no
468,40,management,single,secondary,no,10378,yes,no,cellular,17,nov,523,3,-1,0,unknown,no
1552,33,management,single,tertiary,no,1998,no,no,cellular,19,nov,570,1,-1,0,unknown,no
2926,33,blue-collar,married,tertiary,no,1465,no,no,cellular,19,aug,98,4,-1,0,unknown,no
1393,55,retired,married,primary,no,4424,no,no,cellular,5,aug,67,4,-1,0,unknown,no
4418,43,management,married,tertiary,no,3529,yes,no,cellular,4,aug,190,3,-1,0,unknown,no
1545,56,admin.,married,secondary,no,0,yes,no,telephone,19,nov,154,2,-1,0,unknown,no
3433,58,management,married,secondary,no,139,no,no,cellular,27,may,188,1,161,2,other,no
4394,43,blue-collar,married,secondary,no,10910,yes,no,cellular,15,may,66,2,-1,0,unknown,no
1123,35,technician,married,tertiary,no,188,no,no,cellular,26,aug,286,2,-1,0,unknown,no
1392,52,blue-collar,married,secondary,no,-98,yes,no,unknown,7,may,423,1,-1,0,unknown,no
3036,73,retired,married,primary,no,279,no,no,cellular,28,jan,399,3,-1,0,unknown,yes
3920,42,technician,married,secondary,no,613,yes,no,cellular,11,may,432,2,-1,0,unknown,no
721,31,technician,single,tertiary,no,-162,yes,no,cellular,18,may,380,1,-1,0,unknown,no
2066,56,management,divorced,tertiary,no,2959,yes,no,telephone,18,may,325,1,-1,0,unknown,no
238,57,housemaid,married,primary,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no
1586,42,management,single,tertiary,no,100,no,no,cellular,7,aug,64,2,-1,0,unknown,no
296,29,management,married,tertiary,no,451,no,no,cellular,28,jan,451,1,-1,0,unknown,no
109,27,housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no
2314,54,blue-collar,divorced,primary,no,-182,no,no,cellular,9,jul,98,1,-1,0,unknown,no
2750,36,entrepreneur,married,tertiary,no,6,no,no,telephone,30,oct,246,1,-1,0,unknown,no
759,42,entrepreneur,married,tertiary,no,233,no,no,cellular,5,feb,446,1,-1,0,unknown,no
1041,39,admin.,divorced,secondary,no,2903,yes,yes,telephone,25,jul,259,2,-1,0,unknown,no
843,59,management,single,secondary,no,671,yes,yes,cellular,29,jan,219,2,259,5,failure,no
297,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes
4196,48,blue-collar,married,secondary,no,480,yes,no,cellular,15,may,830,1,352,2,failure,yes
486,55,services,divorced,secondary,yes,-404,yes,no,cellular,22,jul,502,3,-1,0,unknown,no
4193,48,services,divorced,secondary,no,3186,no,yes,cellular,9,apr,104,1,-1,0,unknown,no
51,37,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
2155,34,self-employed,married,primary,no,712,yes,no,unknown,2,jun,326,3,-1,0,unknown,no
3527,33,services,divorced,secondary,no,2411,yes,no,cellular,23,oct,130,1,161,1,failure,yes
1909,33,technician,married,tertiary,no,75,no,no,cellular,21,jul,204,4,-1,0,unknown,no
3601,39,blue-collar,married,secondary,no,293,yes,no,unknown,23,may,160,3,-1,0,unknown,no
2654,36,management,married,tertiary,no,1133,yes,no,cellular,4,aug,293,1,181,2,other,yes
1553,34,blue-collar,married,secondary,no,3990,yes,no,cellular,24,jul,633,7,-1,0,unknown,no
3066,34,blue-collar,married,secondary,no,856,yes,no,cellular,20,apr,470,1,150,5,other,no
26,55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
2639,50,management,married,tertiary,no,1240,no,no,cellular,12,aug,474,2,-1,0,unknown,no
2440,49,technician,divorced,tertiary,no,0,yes,no,cellular,12,jun,177,3,-1,0,unknown,no
3201,58,retired,married,secondary,no,764,no,no,cellular,12,aug,219,4,-1,0,unknown,no
4464,53,services,divorced,secondary,no,4554,no,no,cellular,5,feb,8,6,-1,0,unknown,no
3942,49,management,married,primary,no,3371,no,no,cellular,11,nov,269,2,-1,0,unknown,yes
3048,35,services,single,secondary,no,414,yes,no,cellular,20,apr,11,5,319,2,other,no
2153,43,blue-collar,married,primary,no,255,yes,no,cellular,17,jul,180,1,-1,0,unknown,no
1612,29,management,divorced,tertiary,no,415,yes,yes,unknown,28,may,449,4,-1,0,unknown,no
1747,38,management,married,tertiary,no,-469,yes,no,unknown,16,jun,209,12,-1,0,unknown,no
4293,33,blue-collar,single,secondary,no,1925,yes,no,cellular,2,mar,76,2,-1,0,unknown,no
132,43,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no
1183,32,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,unknown,no
4007,34,entrepreneur,married,tertiary,no,105,yes,no,unknown,28,may,249,2,-1,0,unknown,no
3017,34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326,11,-1,0,unknown,no
3407,40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,4,270,3,other,no
4211,27,blue-collar,single,secondary,no,3792,no,no,cellular,22,apr,279,2,-1,0,unknown,yes
120,31,admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no
2989,42,entrepreneur,married,tertiary,no,42045,no,no,cellular,8,aug,205,2,-1,0,unknown,no
2528,33,blue-collar,married,secondary,no,745,yes,no,unknown,23,may,115,4,-1,0,unknown,no
1777,43,management,married,unknown,no,5172,yes,no,unknown,29,may,57,3,-1,0,unknown,no
2195,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,yes
1497,55,retired,married,tertiary,no,197,no,yes,cellular,8,jul,256,1,-1,0,unknown,no
2222,34,admin.,married,secondary,no,475,yes,no,unknown,7,may,559,1,-1,0,unknown,no
1965,40,management,single,tertiary,no,0,no,no,cellular,26,aug,58,7,-1,0,unknown,no
429,40,management,married,tertiary,no,542,yes,no,cellular,20,nov,1816,1,-1,0,unknown,no
1684,42,blue-collar,single,primary,no,1322,yes,yes,cellular,8,jul,178,1,-1,0,unknown,no
134,27,technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
2293,34,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,may,184,1,167,6,failure,no
4309,40,services,single,secondary,no,1547,yes,no,cellular,12,may,88,2,173,1,success,no
544,49,admin.,married,secondary,no,2465,no,no,cellular,20,aug,157,3,-1,0,unknown,no
2583,52,technician,married,tertiary,no,2557,no,no,cellular,28,jan,134,5,204,2,success,yes
4476,42,management,married,tertiary,no,603,yes,no,cellular,5,nov,298,5,-1,0,unknown,no
465,59,housemaid,married,secondary,no,0,no,no,telephone,3,feb,722,1,99,4,failure,no
463,35,blue-collar,divorced,secondary,no,3102,yes,no,cellular,20,nov,138,1,-1,0,unknown,no
4449,31,self-employed,single,secondary,no,360,yes,no,unknown,26,may,592,4,-1,0,unknown,no
17,37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
2207,29,admin.,single,secondary,no,1117,yes,no,unknown,8,may,77,2,-1,0,unknown,no
457,25,services,single,secondary,no,402,no,yes,cellular,7,jul,264,1,-1,0,unknown,no
625,36,technician,married,secondary,no,146,yes,yes,unknown,15,may,284,2,-1,0,unknown,no
3892,35,admin.,divorced,tertiary,no,1555,yes,no,unknown,9,may,26,2,-1,0,unknown,no
4235,44,management,single,tertiary,no,1424,yes,no,cellular,8,aug,201,2,-1,0,unknown,no
1615,34,management,married,tertiary,no,417,yes,no,cellular,18,nov,138,1,-1,0,unknown,no
2501,59,retired,married,secondary,no,9976,yes,no,unknown,29,may,57,2,-1,0,unknown,no
298,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,yes
122,32,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
240,34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
3569,50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218,3,161,9,other,no
670,40,blue-collar,married,secondary,no,11084,no,no,unknown,11,jun,113,1,-1,0,unknown,no
2378,39,blue-collar,married,secondary,no,1439,yes,no,telephone,28,jul,73,6,-1,0,unknown,no
561,28,student,single,secondary,no,11555,no,no,cellular,8,apr,125,2,-1,0,unknown,no
2994,41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,unknown,no
3697,57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67,1,368,2,failure,no
3161,24,technician,married,secondary,no,556,yes,no,cellular,18,aug,460,2,-1,0,unknown,yes
1973,59,blue-collar,married,unknown,no,139,no,no,unknown,5,jun,153,1,-1,0,unknown,no
3612,50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,other,no
2889,56,unemployed,divorced,primary,no,109,no,no,cellular,15,jul,924,4,-1,0,unknown,no
2159,33,services,married,secondary,no,386,no,no,cellular,12,nov,253,1,92,4,failure,yes
4062,43,management,single,secondary,no,109,yes,no,unknown,27,may,64,3,-1,0,unknown,no
869,56,technician,married,secondary,no,150,yes,yes,cellular,11,may,102,6,349,1,failure,no
416,31,services,single,secondary,no,2070,no,no,cellular,29,aug,319,2,-1,0,unknown,no
274,35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no
3326,60,blue-collar,married,primary,no,1472,no,no,unknown,20,jun,36,4,-1,0,unknown,no
3713,32,blue-collar,married,secondary,no,119,no,no,cellular,4,may,20,5,-1,0,unknown,no
3076,33,blue-collar,married,primary,no,925,no,no,cellular,20,nov,884,3,-1,0,unknown,no
1149,59,retired,married,secondary,no,1173,no,no,unknown,9,jun,77,2,-1,0,unknown,no
2423,37,entrepreneur,single,secondary,no,654,no,no,unknown,19,may,594,2,-1,0,unknown,no
4289,56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66,2,-1,0,unknown,no
3796,66,retired,married,primary,no,206,no,no,cellular,9,feb,479,1,-1,0,unknown,yes
584,52,technician,married,secondary,no,192,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
3405,55,admin.,married,secondary,no,1102,yes,no,unknown,15,may,126,2,-1,0,unknown,no
3381,34,admin.,married,secondary,no,645,yes,no,unknown,19,may,420,1,-1,0,unknown,no
3468,38,blue-collar,divorced,secondary,no,889,no,yes,unknown,18,jun,362,1,-1,0,unknown,no
4208,39,technician,married,secondary,no,626,yes,no,cellular,11,may,126,2,-1,0,unknown,no
3889,47,management,single,tertiary,no,4402,no,no,telephone,10,dec,805,1,190,1,other,yes
443,30,management,married,tertiary,no,1221,yes,no,telephone,25,jul,279,4,-1,0,unknown,yes
2067,41,housemaid,divorced,primary,no,22,yes,no,cellular,18,nov,238,3,126,4,other,no
3206,60,housemaid,married,primary,no,0,no,yes,telephone,22,jul,124,1,-1,0,unknown,no
1578,40,management,married,tertiary,no,1041,yes,no,unknown,12,jun,73,1,-1,0,unknown,no
1315,49,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,no
1647,30,management,married,tertiary,no,0,yes,no,cellular,9,jul,127,1,-1,0,unknown,no
1510,45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
1108,43,management,single,tertiary,no,146,no,no,cellular,21,nov,50,1,113,5,other,no
555,37,admin.,married,secondary,no,1314,yes,no,cellular,8,may,682,2,85,7,success,no
3042,49,housemaid,married,tertiary,no,443,no,no,cellular,8,aug,27,6,-1,0,unknown,no
93,32,management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no
3355,49,blue-collar,married,primary,no,937,yes,no,unknown,12,jun,66,1,-1,0,unknown,no
833,38,admin.,married,secondary,no,3190,yes,no,unknown,20,jun,20,2,-1,0,unknown,no
3095,52,services,single,secondary,no,1810,no,no,telephone,19,nov,117,1,-1,0,unknown,no
4500,38,admin.,married,secondary,no,4196,yes,no,cellular,12,may,193,2,-1,0,unknown,no
4486,37,blue-collar,married,primary,no,378,yes,no,unknown,9,may,514,1,-1,0,unknown,no
911,59,retired,married,primary,no,1427,no,no,unknown,18,jun,140,2,-1,0,unknown,no
3286,30,blue-collar,single,primary,no,71,yes,no,unknown,19,may,122,6,-1,0,unknown,no
4509,51,technician,married,tertiary,no,2506,no,no,cellular,30,nov,210,3,-1,0,unknown,no
4169,35,services,divorced,secondary,no,221,yes,no,cellular,14,may,150,1,360,1,failure,no
856,49,technician,married,secondary,yes,-1680,yes,yes,unknown,27,jun,92,4,-1,0,unknown,no
3721,35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,105,3,-1,0,unknown,no
3718,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
2091,54,services,married,secondary,no,-22,no,yes,cellular,9,jul,85,1,-1,0,unknown,no
2305,34,services,divorced,secondary,no,202,yes,no,unknown,15,may,318,1,-1,0,unknown,no
949,33,management,divorced,secondary,no,106,no,no,cellular,20,aug,175,3,-1,0,unknown,no
945,41,technician,married,secondary,no,1066,no,no,cellular,11,feb,109,3,-1,0,unknown,yes
438,36,management,married,secondary,no,644,yes,no,cellular,18,nov,54,2,-1,0,unknown,no
3312,37,management,divorced,secondary,no,1287,yes,no,cellular,14,may,432,1,-1,0,unknown,no
2617,41,services,married,secondary,no,171,no,no,cellular,21,jul,71,9,-1,0,unknown,no
1260,33,services,single,secondary,no,-56,no,yes,cellular,10,jul,119,5,-1,0,unknown,no
2971,37,blue-collar,married,secondary,no,346,yes,no,cellular,17,apr,390,1,316,1,failure,no
598,60,retired,divorced,unknown,no,-49,yes,no,cellular,29,jan,188,1,261,2,failure,no
478,35,services,married,secondary,no,1453,yes,no,unknown,28,may,199,1,-1,0,unknown,no
2688,27,services,married,secondary,no,-1202,yes,no,unknown,4,jun,749,2,-1,0,unknown,no
3759,58,services,married,primary,no,65,no,no,unknown,27,jun,162,1,-1,0,unknown,no
177,37,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
1910,54,retired,married,secondary,no,1139,yes,no,cellular,14,may,155,1,177,7,failure,no
1623,47,blue-collar,married,primary,no,3451,no,yes,cellular,21,nov,125,2,-1,0,unknown,no
